"_id","title","slug","category","word_count","content","published_at","source_feed","author","views","status"
"6a8c8daf63fd67f3a2e01a64","World update: Spokesperson Duke Sussex says remains ‘active avid supporter’","world-update-spokesperson-duke-sussex-says-remains-active-avid-supporter","World","45","Spokesperson for Duke of Sussex says he remains an ‘active and avid supporter’ of African Parks’ mission The Duke of Sussex has stepped down from the board of a major African wildlife charity that had been at the centre of a human rights controversy. Prince","2026-08-24T17:34:50.000Z","https://www.theguardian.com/world/rss","Novexa News Desk","0","draft"
"6a8c7fa259b6dd6dac32c42a","Pakistan update: Pace bowler Brydon Carse removed from England's squad","pakistan-update-pace-bowler-brydon-carse-removed-from-england-s-squad","Pakistan","29","Pace bowler Brydon Carse is removed from England's squad for the second Test against Pakistan amid an ongoing investigation into an incident that led to him being briefly arrested.","2026-08-24T16:52:44.000Z","https://feeds.bbci.co.uk/sport/rss.xml","Novexa News Desk","0","draft"
"6a8c5c774ae31e7f2d4dd736","World update: flexed their muscles, bringing Ferran Torres bench save","world-update-flexed-their-muscles-bringing-ferran-torres-bench-save","World","43","PSG flexed their muscles, bringing Ferran Torres off the bench to save the day, but only because Rennes made them By Get French Football News On the scale of expressions of prowess and power, Paris Saint-Germain bringing almost €150m worth of attacking talent","2026-08-24T14:03:52.000Z","https://www.theguardian.com/football/rss","Novexa News Desk","0","draft"
"6a8c638356fe1c4ed15f1fd9","Business update: Campaigners proposal £10bn rescue deal avoid nationalisation ‘cosy","business-update-campaigners-proposal-10bn-rescue-deal-avoid-nationalisation-cosy","Business","42","Campaigners say proposal for £10bn rescue deal in bid to avoid nationalisation is a ‘cosy stitch-up’ Business live – latest updates The group of creditors pursuing a rescue bid for Thames Water have been accused of shuffling the deckchairs on the Titanic","2026-08-24T13:00:16.000Z","https://www.theguardian.com/uk/business/rss","Novexa News Desk","0","draft"
"6a8c78983c7f502f37255ecc","Business update: Research shows firms branded beauty convenience apparently operate","business-update-research-shows-firms-branded-beauty-convenience-apparently-operate","Business","38","Research shows firms are branded as beauty and convenience but apparently operate in money-laundering and terrorist financing sectors Up to £464m has “moved through” more than 3,000 UK shell companies branded as beauty and convenience stores but apparently","2026-08-24T12:49:17.000Z","https://www.theguardian.com/uk/business/rss","Novexa News Desk","0","draft"
"6a8c94b93ad4b20de3c2963a","World update: West African country reports suspected cases outbreak declared","world-update-west-african-country-reports-suspected-cases-outbreak-declared","World","40","West African country reports 46 suspected cases in outbreak declared in July, amid fears virus may be spreading undetected More than half of the mpox cases reported in Guinea-Bissau have been among children, local authorities have said, almost two months","2026-08-24T10:11:34.000Z","https://www.theguardian.com/world/rss","Novexa News Desk","0","draft"
"6a8c55706666e38743d64900","Business update: China-based retailer swung $99m loss first quarter faces","business-update-china-based-retailer-swung-99m-loss-first-quarter-faces","Business","41","China-based retailer swung to $99m loss in first quarter and faces scrutiny over its environmental footprint Business live – latest updates Shein, which built a fast-fashion empire on what seemed like impossibly low prices, has been forced to lower its own","2026-08-24T08:57:50.000Z","https://www.theguardian.com/uk/business/rss","Novexa News Desk","0","draft"
"6a8c16242d265b2f2fa3875e","Sports update: Manchester United’s under-powered attack, Brentford’s £39m bargain Dewsbury","sports-update-manchester-united-s-under-powered-attack-brentford-s-39m-bargain-dewsbury","Sports","36","Manchester United’s under-powered attack, Brentford’s £39m bargain and Dewsbury-Hall delivers for Everton Arsenal’s treatment of Gabriel Martinelli has been questioned by Ian Wright after the Brazil forward was left out of their squad for Friday’s opening","2026-08-24T07:00:54.000Z","https://www.theguardian.com/football/rss","Novexa News Desk","0","draft"
"6a8c01132786be3b165f65be","Business update: Just 8,383 jobs people leaving university were advertised","business-update-just-8-383-jobs-people-leaving-university-were-advertised","Business","42","Just 8,383 jobs for people leaving university were advertised in July, says recruitment website Adzuna Business live – latest updates Graduate job vacancies in the UK have sunk to their lowest level since they started being tracked a decade ago, according to","2026-08-24T06:55:31.000Z","https://www.theguardian.com/uk/business/rss","Novexa News Desk","0","draft"
"6a8bebf67b9d7f66b180e6b1","Business update: Washington imposes tariffs Canadian goods including fishing rods","business-update-washington-imposes-tariffs-canadian-goods-including-fishing-rods","Business","39","Washington imposes 50% tariffs on Canadian goods including fishing rods and hockey sticks, while Canada retaliates with levies on US steel and electronics Good morning, and welcome to our rolling coverage of the global economy, the financial markets, the","2026-08-24T06:48:05.000Z","https://www.theguardian.com/uk/business/rss","Novexa News Desk","0","draft"
