"url","status","title","titleLength","metaDescription","metaDescriptionLength","h1","wordCount","author","category","publishedDate","modifiedDate","canonical","image","structuredData","potentialDuplicate","promptLeakage","placeholderDetection","brokenHtml","qualityWarnings","recommendation"
"https://www.novexa.news/news/bessent-iran-sanctions-operation-economic-outcast","published","Bessent's Iran Sanctions Plan Leaves Targets Unnamed","52","Operation Economic Outcast expands US sanctions exposure across five Iranian sectors, but Washington has not publicly named target countries or deadlines.","154","Bessent's Iran Sanctions Plan Leaves Targets Unnamed","1124","Abdul Basit","World","2026-08-26T07:21:47.000Z","2026-08-26T10:28:04.000Z","https://www.novexa.news/news/bessent-iran-sanctions-operation-economic-outcast","https://res.cloudinary.com/bkigjg2r/image/upload/v1787740082/novexa-news/ai-editorial/bessent-iran-sanctions-operation-economic-outcast.png","true","","","","","","KEEP"
"https://www.novexa.news/news/babar-azam-return-pakistan-lords-second-test","published","Babar Azam Nears Pakistan Return for Lord's Test","48","Babar Azam is expected to return for Pakistan in the second Test at Lord's after batting in the nets, with England leading the three-match series 1-0.","150","Babar Azam Nears Pakistan Return for Lord's Test","886","Abdul Basit","Cricket","2026-08-26T07:11:00.000Z","2026-08-26T07:11:00.000Z","https://www.novexa.news/news/babar-azam-return-pakistan-lords-second-test","https://images.pexels.com/photos/30387500/pexels-photo-30387500.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","true","","","","","","KEEP"
"https://www.novexa.news/news/pims-nursery-fire-islamabad-14-newborns-killed","published","PIMS Nursery Fire Kills 14 Newborns in Islamabad","48","A nursery fire at Islamabad's PIMS hospital killed 14 newborns. Officials ordered a 24-hour inquiry into its cause, fire safety and emergency response.","151","PIMS Nursery Fire Kills 14 Newborns in Islamabad","748","Abdul Basit","Health","2026-08-26T07:10:55.000Z","2026-08-26T07:10:55.000Z","https://www.novexa.news/news/pims-nursery-fire-islamabad-14-newborns-killed","https://www.novexa.news/api/og?title=PIMS%20Nursery%20Fire%20Kills%2014%20Newborns%20in%20Islamabad&category=Health","true","","","","","","KEEP"
"https://www.novexa.news/news/pakistan-flood-levels-explained-ffd","published","Low, Medium, High, Exceptional: How Pakistan’s Flood Warnings Work","66","Pakistan’s flood levels are set per gauging station, not per river. Here is what low, medium, high and exceptionally high actually mean, and why nullahs flood","158","Low, Medium, High, Exceptional: How Pakistan’s Flood Warnings Work","867","Abdul Basit","Pakistan","2026-08-26T07:01:11.000Z","2026-08-26T07:01:11.000Z","https://www.novexa.news/news/pakistan-flood-levels-explained-ffd","https://www.novexa.news/api/og?title=Low%2C%20Medium%2C%20High%2C%20Exceptional%3A%20How%20Pakistan%E2%80%99s%20Flood%20Warnings%20Work&category=Pakistan","true","","","","","","KEEP"
"https://www.novexa.news/news/spi-weekly-inflation-pakistan-explained","published","What Pakistan’s Weekly SPI Inflation Actually Measures","54","PBS publishes six SPI indices every Friday, not one. Here is what the 51-item basket measures, why the poorest households see double the movement, and how SPI","158","What Pakistan’s Weekly SPI Inflation Actually Measures","774","Abdul Basit","Business","2026-08-26T07:01:10.000Z","2026-08-26T07:01:10.000Z","https://www.novexa.news/news/spi-weekly-inflation-pakistan-explained","https://images.pexels.com/photos/6771242/pexels-photo-6771242.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","true","","","","","","KEEP"
"https://www.novexa.news/news/nab-rs500-million-threshold-explained","published","The Rs500 Million Line: How NAB’s Jurisdiction Actually Works","61","The Rs500 million limit decides what NAB can investigate. The 2026 amendment tied it to inflation. Here is how the threshold works, and why NAB wants it","152","The Rs500 Million Line: How NAB’s Jurisdiction Actually Works","989","Abdul Basit","Law","2026-08-26T07:01:09.000Z","2026-08-26T07:01:09.000Z","https://www.novexa.news/news/nab-rs500-million-threshold-explained","https://images.pexels.com/photos/33939971/pexels-photo-33939971.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","true","","","","","","KEEP"
"https://www.novexa.news/news/pakistan-national-ai-policy-explained","published","Pakistan’s National AI Policy, Explained","40","Pakistan approved its National AI Policy in 2025. Here is what the six pillars actually require, what the AI Directorate can enforce, and where the sovereign","157","Pakistan’s National AI Policy, Explained","918","Abdul Basit","Technology","2026-08-26T07:01:08.000Z","2026-08-26T07:01:08.000Z","https://www.novexa.news/news/pakistan-national-ai-policy-explained","https://images.pexels.com/photos/8875507/pexels-photo-8875507.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","true","","","","","","KEEP"
"https://www.novexa.news/news/ajk-legislative-assembly-structure-explained","published","How the AJK Legislative Assembly Actually Works","47","How AJK's 53-seat assembly is built: 45 direct seats, 12 outside AJK, and eight reserved seats that can determine who governs and how power is formed.","150","How the AJK Legislative Assembly Actually Works","776","Abdul Basit","Pakistan","2026-08-26T07:01:07.000Z","2026-08-26T07:03:54.000Z","https://www.novexa.news/news/ajk-legislative-assembly-structure-explained","https://images.pexels.com/photos/13659051/pexels-photo-13659051.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","true","","","","","","KEEP"
"https://www.novexa.news/news/interbank-vs-open-market-rate-pakistan-explained","published","Interbank vs Open Market: Why Pakistan Has Two Dollar Rates","59","Pakistan has two legal dollar rates and one illegal one. Here is what separates interbank from open market, and how the gap between them moves $41.6 billion in","159","Interbank vs Open Market: Why Pakistan Has Two Dollar Rates","932","Abdul Basit","Business","2026-08-26T07:01:06.000Z","2026-08-26T07:01:06.000Z","https://www.novexa.news/news/interbank-vs-open-market-rate-pakistan-explained","https://images.pexels.com/photos/17781649/pexels-photo-17781649.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","true","","","","","","KEEP"
"https://www.novexa.news/news/how-petrol-prices-are-set-in-pakistan-ogra-formula","published","How Pakistan’s Petrol and Diesel Prices Are Actually Set","56","Pakistan now prices fuel daily, not fortnightly. Here is every component of the OGRA build-up — ex-refinery price, IFEM, levies, margins — and why prices fall","158","How Pakistan’s Petrol and Diesel Prices Are Actually Set","1149","Abdul Basit","Business","2026-08-26T07:01:04.000Z","2026-08-26T07:01:04.000Z","https://www.novexa.news/news/how-petrol-prices-are-set-in-pakistan-ogra-formula","https://pixabay.com/get/gd636093f09d26f2e838ceb8bb91ffc3833b3c9e6f2ff7dcb86ea2ca784ff0a074a7ec24f9ea4b82f85b447cdf64dbfc4d79acd831646a3852b8ab2484ad77345_1280.jpg","true","","","","","","KEEP"
